,Values
NAV,"19,491.87"
Open Price,"19,560.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"35,370.0 / 259,745.7"
Day Range,"19,450.00 – 19,615.00"
Year Range,"19,020.00 – 23,725.00"
SEC Yield ,—
12-Month Yield ,2.31%
Premium ,—
Expense Ratio,0.170%
Total Assets,504.8 Bil
