,Fund,Cat. Average,Index
Price/Earnings ,9.10,11.02,12.13
Price/Book ,0.86,0.84,0.86
Price/Sales ,0.52,0.53,0.65
Price/Cash Flow ,3.79,3.46,3.66
Dividend Yield % ,2.77,3.08,3.48
Long-Term Earnings % ,14.52,10.07,3.69
Historical Earnings % ,6.85,15.26,14.88
Sales Growth % ,0.08,11.25,4.89
Cash-Flow Growth % ,3.50,16.83,15.05
Book-Value Growth % ,5.05,10.86,8.56
