,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,4.99,24.14,-15.59,-5.60
Fund (NAV),—,—,—,—,—,—,—,5.28,24.06,-15.56,-4.46
+/ Category (NAV),—,—,—,—,—,—,—,4.59,1.59,1.12,0.31
+/- Index (Price),—,—,—,—,—,—,—,-8.84,-8.10,2.04,-6.26
Percentile Rank,—,—,—,—,—,—,—,29,43,28,53
# of Funds in Category,—,—,—,—,—,—,"2,103","2,012","2,058","2,015","2,325"
