,Values
NAV,"19,726.87"
Open Price,"19,730.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"18,558.0 / 62,589.2"
Day Range,"19,465.00 – 19,730.00"
Year Range,"19,235.00 – 23,915.00"
SEC Yield ,—
12-Month Yield ,2.04%
Premium ,—
Expense Ratio,0.220%
Total Assets,46.4 Bil
