,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,11.74,-14.44,-21.55
Fund (NAV),—,—,—,—,—,—,—,—,11.88,-14.64,-19.31
+/ Category (NAV),—,—,—,—,—,—,—,—,-10.60,2.03,-14.44
+/- Index (Price),—,—,—,—,—,—,—,—,-20.49,3.19,-22.04
Percentile Rank,—,—,—,—,—,—,—,—,96,21,100
# of Funds in Category,—,—,—,—,—,—,—,"2,012","2,058","2,015","2,284"
