,Values
NAV,"7,093.92"
Open Price,"7,135.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"40,004.0 / 20,247.8"
Day Range,"7,070.00 – 7,140.00"
Year Range,"6,950.00 – 10,225.00"
SEC Yield ,—
12-Month Yield ,1.71%
Premium ,—
Expense Ratio,0.350%
Total Assets,9.2 Bil
