,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-2.33,-2.74,-14.41,-19.06,-21.55,-29.33,-9.38,—,—,—,—
Total Return % (NAV),-0.23,0.58,-12.82,-18.06,-19.31,-28.32,-8.54,—,—,—,-9.35
+/- Category (NAV),-1.00,-0.90,-5.72,-11.28,-14.44,-15.43,-7.50,—,—,—,—
+/- Index (NAV),-0.23,-0.67,-6.62,-14.35,-19.81,-18.53,-12.91,—,—,—,—
