,Fund,Cat. Average,Index
Price/Earnings ,5.13,11.02,12.13
Price/Book ,0.60,0.84,0.86
Price/Sales ,0.27,0.53,0.65
Price/Cash Flow ,3.22,3.46,3.66
Dividend Yield % ,1.88,3.08,3.48
Long-Term Earnings % ,15.43,10.07,3.69
Historical Earnings % ,3.68,15.26,14.88
Sales Growth % ,1.64,11.25,4.89
Cash-Flow Growth % ,-3.17,16.83,15.05
Book-Value Growth % ,3.57,10.86,8.56
