,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,66.38,-14.21,-40.63
Fund (NAV),—,—,—,—,—,—,—,—,65.36,-14.35,-39.90
+/ Category (NAV),—,—,—,—,—,—,—,—,42.70,3.79,-30.94
+/- Index (Price),—,—,—,—,—,—,—,—,47.58,-2.33,-25.54
Percentile Rank,—,—,—,—,—,—,—,—,1,18,100
# of Funds in Category,—,—,—,—,—,—,—,256,272,369,476
