,Values
NAV,"7,259.31"
Open Price,"7,155.00"
Bid / Ask / Spread,"0.00 / 7,835.00 / 0.00%"
Volume / Avg,"25,410.0 / 10,137.1"
Day Range,"7,100.00 – 7,230.00"
Year Range,"6,585.00 – 15,315.00"
SEC Yield ,—
12-Month Yield ,0.12%
Premium ,—
Expense Ratio,0.440%
Total Assets,5.4 Bil
