,Fund,Cat. Average,Index
Price/Earnings ,30.96,10.08,10.07
Price/Book ,5.23,1.04,0.93
Price/Sales ,6.79,0.61,0.40
Price/Cash Flow ,22.91,4.44,2.91
Dividend Yield % ,0.12,1.71,2.01
Long-Term Earnings % ,21.00,9.55,10.86
Historical Earnings % ,2.42,2.73,0.53
Sales Growth % ,16.10,-1.44,-3.08
Cash-Flow Growth % ,6.67,-10.31,-9.25
Book-Value Growth % ,15.24,6.21,2.39
