,Values
NAV,"13,632.15"
Open Price,"13,555.00"
Bid / Ask / Spread,"13,555.00 / 0.00 / 0.00%"
Volume / Avg,"3,986.0 / 7,019.7"
Day Range,"13,525.00 – 13,615.00"
Year Range,"13,160.00 – 16,205.00"
SEC Yield ,—
12-Month Yield ,2.17%
Premium ,—
Expense Ratio,0.180%
Total Assets,18.8 Bil
