,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-0.81,-1.82,-8.28,-8.72,-4.90,-10.61,-4.22,—,—,—,—
Total Return % (NAV),0.19,0.26,-7.62,-7.47,-4.11,-10.38,-4.17,—,—,—,2.32
+/- Category (NAV),-0.58,-1.22,-0.52,-0.69,0.76,2.51,-3.13,—,—,—,—
+/- Index (NAV),0.19,-0.99,-1.42,-3.76,-4.60,-0.59,-8.54,—,—,—,—
