,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,-25.91,5.34,-36.48,12.36
Fund (NAV),—,—,—,—,—,—,—,-26.17,5.67,-37.08,11.25
+/ Category (NAV),—,—,—,—,—,—,—,-16.93,-25.79,-15.46,-5.96
+/- Index (Price),—,—,—,—,—,—,—,-35.35,-30.03,-25.67,6.44
Percentile Rank,—,—,—,—,—,—,—,97,97,100,71
# of Funds in Category,—,—,—,—,—,—,526,636,734,890,923
