,Values
NAV,"3,526.99"
Open Price,"3,520.00"
Bid / Ask / Spread,"3,575.00 / 0.00 / 0.00%"
Volume / Avg,"1,801.0 / 6,472.7"
Day Range,"3,520.00 – 3,590.00"
Year Range,"3,010.00 – 4,620.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,1.030%
Total Assets,6.3 Bil
