,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,0.16,0.00
Non-U.S.Stock,99.99,0.00,99.99,95.78,99.99
Bonds,0.00,0.00,0.00,0.20,0.00
Other,0.00,0.00,0.00,0.80,0.00
Cash,0.01,3.37,3.39,3.21,0.00
Not Classified,0.00,0.00,0.00,1.64,0.01
