,Fund,Cat. Average,Index
Price/Earnings ,11.19,11.02,12.13
Price/Book ,0.88,0.84,0.86
Price/Sales ,0.60,0.53,0.65
Price/Cash Flow ,4.82,3.46,3.66
Dividend Yield % ,3.21,3.08,3.48
Long-Term Earnings % ,8.17,10.07,3.69
Historical Earnings % ,20.00,15.26,14.88
Sales Growth % ,-0.73,11.25,4.89
Cash-Flow Growth % ,0.18,16.83,15.05
Book-Value Growth % ,1.30,10.86,8.56
