,Values
NAV,"12,911.57"
Open Price,"12,795.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,50.0 / 236.5
Day Range,"12,770.00 – 12,825.00"
Year Range,"12,650.00 – 15,935.00"
SEC Yield ,—
12-Month Yield ,1.18%
Premium ,—
Expense Ratio,0.450%
Total Assets,9.7 Bil
