,Values
NAV,"6,027.97"
Open Price,"5,900.00"
Bid / Ask / Spread,"5,965.00 / 6,560.00 / 9.50%"
Volume / Avg,"42,592.0 / 96,707.9"
Day Range,"5,840.00 – 6,015.00"
Year Range,"5,185.00 – 17,975.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.630%
Total Assets,105.1 Bil
