,Values
Sustainability Rate,Low
Percent Rank in Global Category,90%
Historical Sustainability Score,40.19
Global Category,Other Equity
Portfolio ESG,50.21
Controversy Deduction,8.63
Sustainability Score,41.58
Sustainability Mandate,No
