,Fund,Cat. Average,Index
Price/Earnings ,9.48,13.31,—
Price/Book ,0.85,0.99,—
Price/Sales ,0.23,0.52,—
Price/Cash Flow ,5.50,3.85,—
Dividend Yield % ,2.93,2.16,—
Long-Term Earnings % ,14.90,15.19,—
Historical Earnings % ,3.29,35.81,—
Sales Growth % ,13.33,2.99,—
Cash-Flow Growth % ,-23.89,2.81,—
Book-Value Growth % ,8.15,1.55,—
