,Values
NAV,"11,994.29"
Open Price,"11,965.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"38,211.0 / 6,339.7"
Day Range,"11,930.00 – 11,980.00"
Year Range,"9,405.00 – 12,050.00"
SEC Yield ,—
12-Month Yield ,—
Premium ,—
Expense Ratio,0.350%
Total Assets,8.4 Bil
