,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),2.42,3.77,11.86,15.71,19.90,—,—,—,—,—,—
Total Return % (NAV),-0.18,2.54,9.99,13.74,18.26,—,—,—,—,—,19.99
+/- Category (NAV),—,—,—,—,—,—,—,—,—,—,—
+/- Index (NAV),—,—,—,—,—,—,—,—,—,—,—
