,Fund,Cat. Average,Index
Price/Earnings ,6.78,11.02,12.13
Price/Book ,0.85,0.84,0.86
Price/Sales ,0.57,0.53,0.65
Price/Cash Flow ,3.29,3.46,3.66
Dividend Yield % ,3.12,3.08,3.48
Long-Term Earnings % ,12.03,10.07,3.69
Historical Earnings % ,18.03,15.26,14.88
Sales Growth % ,6.18,11.25,4.89
Cash-Flow Growth % ,11.82,16.83,15.05
Book-Value Growth % ,7.81,10.86,8.56
