Sectors,Fund %,Category %
Basic Materials,7.67,8.70
Consumer Cyclical,7.14,13.65
Financial Services,16.79,11.56
Real Estate,0.00,0.29
Communication Services,0.89,2.34
Energy,2.60,1.96
Industrials,5.48,10.46
Technology,47.86,38.20
Consumer Defensive,6.55,6.64
Healthcare,3.80,4.97
Utilities,1.22,1.23
