,Values
NAV,"7,567.04"
Open Price,"7,600.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,7.0 / 12.5
Day Range,"7,570.00 – 7,615.00"
Year Range,"7,440.00 – 8,770.00"
SEC Yield ,—
12-Month Yield ,1.83%
Premium ,—
Expense Ratio,0.460%
Total Assets,5.2 Bil
