Sectors,Fund %,Category %
Basic Materials,14.52,8.70
Consumer Cyclical,10.34,13.65
Financial Services,8.00,11.56
Real Estate,0.00,0.29
Communication Services,4.06,2.34
Energy,3.00,1.96
Industrials,7.21,10.46
Technology,39.13,38.20
Consumer Defensive,6.24,6.64
Healthcare,7.51,4.97
Utilities,0.00,1.23
