,Fund,Cat. Average,Index
Price/Earnings ,9.60,11.02,12.13
Price/Book ,1.00,0.84,0.86
Price/Sales ,0.69,0.53,0.65
Price/Cash Flow ,5.58,3.46,3.66
Dividend Yield % ,2.49,3.08,3.48
Long-Term Earnings % ,16.66,10.07,3.69
Historical Earnings % ,12.05,15.26,14.88
Sales Growth % ,-1.04,11.25,4.89
Cash-Flow Growth % ,0.88,16.83,15.05
Book-Value Growth % ,5.73,10.86,8.56
