,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,11.00,23.50,-18.06,-3.33
Fund (NAV),—,—,—,—,—,—,—,10.58,23.61,-17.50,-3.28
+/ Category (NAV),—,—,—,—,—,—,—,9.89,1.13,-0.83,1.50
+/- Index (Price),—,—,—,—,—,—,—,-2.82,-8.73,-0.43,-4.00
Percentile Rank,—,—,—,—,—,—,—,4,47,54,39
# of Funds in Category,—,—,—,—,—,—,"2,103","2,012","2,058","2,015","2,325"
