,Values
NAV,"12,610.73"
Open Price,"12,500.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,455.0 / 219.3
Day Range,"12,400.00 – 12,545.00"
Year Range,"12,265.00 – 15,100.00"
SEC Yield ,—
12-Month Yield ,1.26%
Premium ,—
Expense Ratio,0.290%
Total Assets,15.1 Bil
