,Values
NAV,"12,765.40"
Open Price,"12,770.00"
Bid / Ask / Spread,"11,495.00 / 0.00 / 0.00%"
Volume / Avg,"7,441.0 / 57,756.2"
Day Range,"12,715.00 – 12,800.00"
Year Range,"11,405.00 – 12,845.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.390%
Total Assets,30.5 Bil
