,Values
NAV,"10,645.47"
Open Price,"10,650.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"7,276.0 / 16,358.1"
Day Range,"10,630.00 – 10,730.00"
Year Range,"8,305.00 – 10,730.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.510%
Total Assets,11.7 Bil
