,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),1.18,1.27,7.79,6.93,21.52,18.56,—,—,—,—,—
Total Return % (NAV),0.90,0.13,6.66,7.70,20.56,18.59,—,—,—,—,2.40
+/- Category (NAV),—,—,—,—,—,—,—,—,—,—,—
+/- Index (NAV),—,—,—,—,—,—,—,—,—,—,—
