,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,0.00,—
Non-U.S.Stock,0.00,0.00,0.00,0.00,—
Bonds,93.14,0.00,93.14,29.68,—
Other,0.00,0.00,0.00,0.01,—
Cash,6.86,0.01,6.87,73.37,—
Not Classified,0.00,0.00,0.00,0.00,—
