,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,2.65,1.79,1.41,1.29,1.77,1.27
Fund (NAV),—,—,—,—,—,2.65,1.86,1.34,1.32,1.73,1.27
+/ Category (NAV),—,—,—,—,—,0.40,0.32,0.11,0.07,0.12,0.09
+/- Index (Price),—,—,—,—,—,-0.23,-0.35,-0.43,-0.47,-0.21,-0.07
Percentile Rank,—,—,—,—,—,1,4,38,41,26,6
# of Funds in Category,—,—,—,—,156,179,201,203,226,269,305
