,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),0.00,0.03,0.22,0.57,1.27,1.90,1.57,1.68,—,—,—
Total Return % (NAV),0.01,0.04,0.23,0.59,1.27,1.91,1.57,1.69,—,—,1.82
+/- Category (NAV),0.03,0.01,0.00,0.11,0.09,0.13,0.16,0.23,—,—,—
+/- Index (NAV),0.00,0.00,0.05,0.06,-0.08,-0.19,-0.34,-0.32,—,—,—
