,Values
NAV,"110,714.56"
Open Price,"110,725.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,207.0 / 906.0
Day Range,"110,725.00 – 110,730.00"
Year Range,"108,665.00 – 110,730.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.130%
Total Assets,34.2 Bil
