,Values
NAV,"21,704.67"
Open Price,"21,705.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"78.0 / 7,983.7"
Day Range,"21,605.00 – 21,745.00"
Year Range,"20,470.00 – 26,605.00"
SEC Yield ,—
12-Month Yield ,1.28%
Premium ,—
Expense Ratio,0.350%
Total Assets,23.9 Bil
