,Fund,Cat. Average,Index
Price/Earnings ,16.27,11.02,12.13
Price/Book ,1.25,0.84,0.86
Price/Sales ,0.50,0.53,0.65
Price/Cash Flow ,7.36,3.46,3.66
Dividend Yield % ,1.99,3.08,3.48
Long-Term Earnings % ,18.58,10.07,3.69
Historical Earnings % ,17.79,15.26,14.88
Sales Growth % ,11.17,11.25,4.89
Cash-Flow Growth % ,-11.23,16.83,15.05
Book-Value Growth % ,5.78,10.86,8.56
