,Fund,Category,Index
U.S.Stock,0.00,0.16,0.00
Non-U.S.Stock,96.90,95.78,99.99
Bonds,0.00,0.20,0.00
Other,0.00,0.80,0.00
Cash,0.13,3.21,0.00
Not Classified,2.97,1.64,0.01
