,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-0.04,0.21,-6.44,-1.62,—,—,—,—,—,—,—
Total Return % (NAV),1.18,0.54,-5.98,-2.99,—,—,—,—,—,—,-1.57
+/- Category (NAV),0.42,-0.94,1.12,3.79,—,—,—,—,—,—,—
+/- Index (NAV),1.18,-0.71,0.21,0.73,—,—,—,—,—,—,—
