,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-1.01,-0.76,-13.75,-11.31,-21.50,-22.57,-15.33,-19.11,-13.32,—,—
Total Return % (NAV),0.57,3.63,-13.76,-9.47,-20.65,-22.47,-15.15,-19.02,-13.25,—,-15.70
+/- Category (NAV),—,—,—,—,—,—,—,—,—,—,—
+/- Index (NAV),—,—,—,—,—,—,—,—,—,—,—
