,Fund,Cat. Average,Index
Price/Earnings ,8.26,13.31,—
Price/Book ,0.87,0.99,—
Price/Sales ,0.53,0.52,—
Price/Cash Flow ,2.28,3.85,—
Dividend Yield % ,0.63,2.16,—
Long-Term Earnings % ,18.68,15.19,—
Historical Earnings % ,-3.20,35.81,—
Sales Growth % ,-29.21,2.99,—
Cash-Flow Growth % ,-6.02,2.81,—
Book-Value Growth % ,-10.85,1.55,—
