,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,8.15,—
Non-U.S.Stock,100.00,0.00,100.00,79.51,—
Bonds,0.00,0.00,0.00,0.07,—
Other,0.00,0.00,0.00,0.89,—
Cash,-0.00,2.03,2.03,24.83,—
Not Classified,0.00,0.00,0.00,0.06,—
