,Values
NAV,"3,955.70"
Open Price,"3,920.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"1,626.0 / 23,375.7"
Day Range,"3,920.00 – 3,955.00"
Year Range,"3,770.00 – 5,980.00"
SEC Yield ,—
12-Month Yield ,1.17%
Premium ,—
Expense Ratio,0.480%
Total Assets,7.9 Bil
