,Values
NAV,"7,900.15"
Open Price,"7,900.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"92.0 / 5,764.0"
Day Range,"7,870.00 – 7,925.00"
Year Range,"7,765.00 – 9,605.00"
SEC Yield ,—
12-Month Yield ,1.46%
Premium ,—
Expense Ratio,0.380%
Total Assets,5.1 Bil
