,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,—,—,-3.87
Fund (NAV),—,—,—,—,—,—,—,—,—,—,-3.40
+/ Category (NAV),—,—,—,—,—,—,—,—,—,—,1.47
+/- Index (Price),—,—,—,—,—,—,—,—,—,—,-4.37
Percentile Rank,—,—,—,—,—,—,—,—,—,—,39
# of Funds in Category,—,—,—,—,—,—,—,—,—,"2,015","2,284"
