,Fund,Cat. Average,Index
Price/Earnings ,10.65,11.02,12.13
Price/Book ,0.98,0.84,0.86
Price/Sales ,0.57,0.53,0.65
Price/Cash Flow ,3.82,3.46,3.66
Dividend Yield % ,2.94,3.08,3.48
Long-Term Earnings % ,14.22,10.07,3.69
Historical Earnings % ,13.23,15.26,14.88
Sales Growth % ,3.86,11.25,4.89
Cash-Flow Growth % ,11.55,16.83,15.05
Book-Value Growth % ,6.34,10.86,8.56
