,Values
NAV,"4,875.88"
Open Price,"4,845.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"10.0 / 1,333.6"
Day Range,"4,845.00 – 4,845.00"
Year Range,"4,345.00 – 5,440.00"
SEC Yield ,—
12-Month Yield ,1.41%
Premium ,—
Expense Ratio,0.440%
Total Assets,4.7 Bil
