,Values
Sustainability Rate,Below Average
Percent Rank in Global Category,89%
Historical Sustainability Score,40.88
Global Category,Industrials Sector Equity
Portfolio ESG,45.05
Controversy Deduction,3.89
Sustainability Score,41.16
Sustainability Mandate,No
