,Fund,Cat. Average,Index
Price/Earnings ,12.23,17.17,20.64
Price/Book ,1.46,2.04,3.84
Price/Sales ,1.10,1.37,2.36
Price/Cash Flow ,4.21,7.78,11.93
Dividend Yield % ,1.77,1.69,1.48
Long-Term Earnings % ,39.72,8.11,10.45
Historical Earnings % ,35.42,12.12,18.19
Sales Growth % ,14.42,7.65,8.61
Cash-Flow Growth % ,23.05,13.49,16.51
Book-Value Growth % ,22.28,7.62,8.68
