,Values
NAV,"19,048.47"
Open Price,"18,895.00"
Bid / Ask / Spread,"17,145.00 / 19,050.00 / 10.53%"
Volume / Avg,"3,308.0 / 8,580.8"
Day Range,"18,810.00 – 19,055.00"
Year Range,"15,860.00 – 24,355.00"
SEC Yield ,—
12-Month Yield ,1.40%
Premium ,—
Expense Ratio,0.470%
Total Assets,12.4 Bil
