,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,41.01,69.52
Non-U.S.Stock,98.06,0.00,98.06,46.12,30.48
Bonds,0.00,0.00,0.00,0.01,0.00
Other,0.00,0.00,0.00,0.52,0.00
Cash,1.94,1.34,3.28,32.42,0.00
Not Classified,0.00,0.00,0.00,0.04,0.00
