,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-0.16,-0.20,-0.76,-1.15,-0.78,-1.21,—,—,—,—,—
Total Return % (NAV),0.04,0.04,-0.60,-1.03,-0.67,-1.08,—,—,—,—,-1.27
+/- Category (NAV),—,—,—,—,—,—,—,—,—,—,—
+/- Index (NAV),—,—,—,—,—,—,—,—,—,—,—
