,Values
NAV,"25,616.24"
Open Price,"25,385.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"77,331.0 / 219,048.9"
Day Range,"25,315.00 – 25,470.00"
Year Range,"25,130.00 – 30,465.00"
SEC Yield ,—
12-Month Yield ,2.66%
Premium ,—
Expense Ratio,0.060%
Total Assets,767.2 Bil
