,Values
NAV,"5,744.56"
Open Price,"5,865.00"
Bid / Ask / Spread,"5,740.00 / 5,980.00 / 4.10%"
Volume / Avg,"58,560.0 / 18,419.4"
Day Range,"5,745.00 – 5,865.00"
Year Range,"5,745.00 – 8,600.00"
SEC Yield ,—
12-Month Yield ,3.95%
Premium ,—
Expense Ratio,0.470%
Total Assets,8.0 Bil
