,Fund,Cat. Average,Index
Price/Earnings ,8.63,9.59,11.73
Price/Book ,0.64,0.96,1.24
Price/Sales ,0.28,1.50,1.80
Price/Cash Flow ,2.90,5.09,4.08
Dividend Yield % ,3.84,3.35,3.31
Long-Term Earnings % ,9.48,9.32,7.95
Historical Earnings % ,-2.46,3.83,7.07
Sales Growth % ,3.31,3.64,-0.86
Cash-Flow Growth % ,—,9.11,-41.07
Book-Value Growth % ,4.47,2.07,1.63
