,Values
Sustainability Rate,Average
Percent Rank in Global Category,47%
Historical Sustainability Score,45.46
Global Category,Financials Sector Equity
Portfolio ESG,46.72
Controversy Deduction,2.95
Sustainability Score,43.77
Sustainability Mandate,No
