,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-0.50,-0.50,-6.72,-3.24,-2.76,-9.39,5.80,0.79,3.45,—,—
Total Return % (NAV),0.97,2.11,-5.83,-3.73,-2.00,-9.74,5.87,0.89,3.52,—,2.91
+/- Category (NAV),0.21,0.63,1.28,3.05,2.87,3.15,6.91,1.87,1.30,—,—
+/- Index (NAV),0.97,0.86,0.37,-0.01,-2.50,0.05,1.49,-1.52,-1.39,—,—
