,Fund,Cat. Average,Index
Price/Earnings ,15.48,11.02,12.13
Price/Book ,1.18,0.84,0.86
Price/Sales ,0.94,0.53,0.65
Price/Cash Flow ,4.77,3.46,3.66
Dividend Yield % ,2.76,3.08,3.48
Long-Term Earnings % ,23.71,10.07,3.69
Historical Earnings % ,20.99,15.26,14.88
Sales Growth % ,-5.83,11.25,4.89
Cash-Flow Growth % ,22.41,16.83,15.05
Book-Value Growth % ,-0.64,10.86,8.56
