,Values
NAV,"6,011.47"
Open Price,"6,020.00"
Bid / Ask / Spread,"5,810.00 / 6,010.00 / 3.38%"
Volume / Avg,"3.0 Mil / 295,164.7"
Day Range,"5,990.00 – 6,055.00"
Year Range,"5,885.00 – 7,275.00"
SEC Yield ,—
12-Month Yield ,1.48%
Premium ,—
Expense Ratio,0.290%
Total Assets,991.9 Bil
