,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),62.75,29.95,-11.25,16.00,-4.21,-8.47,-4.96,0.47,31.22,-8.16,-2.76
Fund (NAV),60.98,29.35,-11.32,15.74,-3.78,-8.71,-4.05,-0.19,31.14,-8.16,-2.00
+/ Category (NAV),5.59,6.40,-0.61,8.76,-4.89,-3.63,-8.06,-0.88,8.66,8.51,2.87
+/- Index (Price),2.47,7.73,-2.68,1.67,-6.73,-1.31,-2.14,-13.35,-1.01,9.47,-3.26
Percentile Rank,4,11,51,3,89,75,91,58,6,5,13
# of Funds in Category,813,996,"1,539","1,737","1,779","1,796","2,103","2,012","2,058","2,015","2,284"
