,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,—,—,4.12
Fund (NAV),—,—,—,—,—,—,—,—,—,—,5.15
+/ Category (NAV),—,—,—,—,—,—,—,—,—,—,9.93
+/- Index (Price),—,—,—,—,—,—,—,—,—,—,3.46
Percentile Rank,—,—,—,—,—,—,—,—,—,—,2
# of Funds in Category,—,—,—,—,—,—,—,—,—,"2,015","2,325"
