,Fund,Cat. Average,Index
Price/Earnings ,11.50,11.02,12.13
Price/Book ,0.87,0.84,0.86
Price/Sales ,0.84,0.53,0.65
Price/Cash Flow ,3.10,3.46,3.66
Dividend Yield % ,2.94,3.08,3.48
Long-Term Earnings % ,12.99,10.07,3.69
Historical Earnings % ,24.40,15.26,14.88
Sales Growth % ,8.75,11.25,4.89
Cash-Flow Growth % ,31.66,16.83,15.05
Book-Value Growth % ,10.64,10.86,8.56
